model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Apple MacBook Pro 14 M2 Max MPHG3HB/A MPHK3HB/A ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,12750,14006,13378.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1182995,1/2023
  Apple MacBook Pro 14 M2 Pro Z17G001NE Z17K001NC ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10390,10854,10622.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183738,2/2023
  Apple MacBook Pro 14 M2 Pro Z17H0013Q ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,12100,13134,12617.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183740,2/2023
  Apple MacBook Pro 14 Z17G001NJ ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10828,11768,11298.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184657,2/2023
  Apple MacBook Air 13 Z15Y-HB-KIT ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4999,5089,5044.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181948,1/2023
  Apple MacBook Air 13 Z160000QW Z15Y000QW Z15S000SV Z15W000QY ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560x1440,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4700,5089,4894.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1188760,3/2023
  Apple MacBook Air 13 Z160-HB-KIT ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5088,5089,5088.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181873,1/2023
  Apple MacBook Pro 16 Z177000T4 ,Apple,לא רלוונטי,MacOS,"2.15 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10232,11297,10764.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184932,2/2023
  Apple MacBook Air 15 M2 MQKP3HB/A MQKR3HB/A MQKU3HB/A MQKW3HB/A ,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,15.3 אינטש,2880X1864,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5790,5949,5869.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1197675,6/2023
  Apple MacBook Air 13 Z128-16-HB ,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,"LED, IPS",לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,5895,6160,6027.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1135332,12/2021
  Apple MacBook Pro 13 MYD82HB/A MYDA2HB/A ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5198,5548,5373.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1099546,1/2021
  Apple MacBook Pro 13 MPXV2HB/A ,Apple,לא רלוונטי,MacOS,"1.37 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,DDR4,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל, , ,4099.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=946423,6/2017
  Apple MacBook Pro 13 M2 Z16R000GY ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6348,6438,6393.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1179113,12/2022
  Apple MacBook Air 13 Z15W-HB-KIT ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5088,5089,5088.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181947,1/2023
model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Apple MacBook Air 13 Z15W-HB-KIT ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5088,5089,5088.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181947,1/2023
  Apple MacBook Pro 13 MR9V2HB/A ,Apple,לא רלוונטי,MacOS,"1.37 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,DDR3,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל, , ,4299.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=992135,7/2018
  Apple MacBook Air 13 Z124-16-HB ,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5443,5850,5646.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1119831,7/2021
