model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Dell Vostro 3510 VM-RD09-13605 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,לא כולל,קורא טביעות אצבע,לא כולל,1886,2141,2013.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1163900,7/2022
  Dell Inspiron 5410 N5410-6432 ,Dell,לא רלוונטי,Windows 10,לא זמין,8 GB,2.5Ghz,1155G7,דור 11,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,כולל,לא כולל,לא כולל,לא כולל,2899,3790,3344.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1129817,11/2021
  Dell Vostro 7620 V7620-7421 ,Dell,לא רלוונטי,Windows 11 Pro,"1.96 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,512 GB,SSD,לא כולל,16 אינטש,1920x1200,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,5825,6399,6112.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1172233,10/2022
  Dell Inspiron 3511 IN-RD33-14021 ,Dell,לא רלוונטי,ללא,"1.73 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1539,1899,1719.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1177960,12/2022
  Dell Inspiron 3511 IN-RD33-13117 ,Dell,לא רלוונטי,Windows 11 Home,"1.73 ק""ג",8 GB,4.7Ghz,1165G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3289,3690,3489.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1129814,11/2021
  Dell Inspiron 3511 IN-RD33-14215 ,Dell,לא רלוונטי,ללא,"1.73 ק""ג",8 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2413,2990,2701.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1191623,4/2023
  Dell Inspiron 3511 N3511-7123 ,Dell,לא רלוונטי,Windows 11 Home,"1.73 ק""ג",16 GB,2.8Ghz,1165G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2999,3500,3249.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1177222,12/2022
  Dell Mobile Precision 3571 M3571-9558 ,Dell,לא רלוונטי,Windows 10 PRO,"1.78 ק""ג",32 GB,3.8Ghz,12900H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,10600,13768,12184.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1184759,2/2023
  Dell Inspiron 3511 IN-RD33-13810 ,Dell,לא רלוונטי,ללא,"1.73 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1665,2095,1880.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1169194,9/2022
  Dell Latitude 5540 L5540-5880 ,Dell,לא רלוונטי,Windows 10 PRO,"1.61 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6285,6390,6337.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1194405,5/2023
  Dell Latitude 7440 L7440-8829 ,Dell,לא רלוונטי,Windows 11 Pro,"1.53 ק""ג",16 GB,3.9Ghz,1365U,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,9189,9589,9389.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1193493,5/2023
  Dell Inspiron 3511 N3511-5026 ,Dell,לא רלוונטי,ללא,"1.73 ק""ג",8 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2689,4000,3344.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1134795,12/2021
  Dell XPS15 9520 XPS15-9228 ,Dell,לא רלוונטי,Windows 10 PRO,"2.05 ק""ג",32 GB,3.8Ghz,12900HK,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,3456X2160,OLED,60 Hz,כולל,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,12919,18120,15519.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1156666,6/2022
  Dell Vostro 3420 VM-RD09-14156 ,Dell,לא רלוונטי,Windows 11 Pro,"1.69 ק""ג",8 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2796,3090,2943.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1185530,2/2023
  Dell Inspiron 5510 IN-RD33-13331 ,Dell,לא רלוונטי,ללא,"1.57 ק""ג",8 GB,3.1Ghz,11300H,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3099,3530,3314.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1141303,1/2022
  Dell Vostro 3520 VM-RD09-13958 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3389,3710,3549.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1177654,12/2022
  Dell Latitude 5430 L5430-6004 ,Dell,לא רלוונטי,ללא,"1.36 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,4147,4979,4563.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1161923,7/2022
